mes,fecha,campania,total_contactos,enviados,entregados,leidos,fallidos
2026-06,2026-06-05,"admision_up_altacaida_con_imagen",37,37,30,24,5
2026-06,2026-06-05,"admision_up_altacaida_sin_imagen",32,32,31,21,1
2026-06,2026-06-05,"admision_up_bajacaida_con_imagen",33,33,27,14,5
2026-06,2026-06-05,"admision_up_bajacaida_sin_imagen",39,39,35,27,4
2026-06,2026-06-05,"admision_up_mediacaida_con_imagen",14,14,10,6,3
2026-06,2026-06-05,"admision_up_mediacaida_sin_imagen",18,18,13,11,5
2026-06,2026-06-05,"fidelizacion_up_alta_mañana",24,24,19,15,5
2026-06,2026-06-05,"fidelizacion_up_alta_noche",23,23,19,13,4
2026-06,2026-06-05,"fidelizacion_up_alta_tarde",21,21,21,14,0
2026-06,2026-06-05,"fidelizacion_up_baja_mañana",47,47,40,20,6
2026-06,2026-06-05,"fidelizacion_up_baja_noche",37,37,32,22,5
2026-06,2026-06-05,"fidelizacion_up_baja_tarde",36,36,23,16,13
2026-06,2026-06-05,"fidelizacion_up_media_mañana",51,51,47,28,4
2026-06,2026-06-05,"fidelizacion_up_media_noche",49,49,44,32,4
2026-06,2026-06-05,"fidelizacion_up_media_tarde",48,48,38,29,10
2026-06,2026-06-05,"m1_up",151,0,0,0,151
2026-06,2026-06-05,"m2_up",119,0,0,0,119
2026-06,2026-06-05,"m3_up",102,102,74,46,25
2026-06,2026-06-05,"pre_asamble_mayo",402,402,372,291,28
2026-06,2026-06-05,"retencion_up",156,156,134,90,22
2026-06,2026-06-04,"m1_extra_2",151,150,134,86,17
2026-06,2026-06-04,"m2_extra_2",119,0,0,0,119
2026-06,2026-06-04,"m3_extra_2",102,102,82,55,19
2026-06,2026-06-03,"contactabilidad_armada_1",5368,4658,4099,2878,1250
2026-06,2026-06-02,"adm_recordatorio_extra_alta",38,38,33,23,5
2026-06,2026-06-02,"adm_recordatorio_extra_alta",44,44,37,31,4
2026-06,2026-06-02,"adm_recordatorio_extra_baja",49,49,42,33,7
2026-06,2026-06-02,"adm_recordatorio_extra_baja",43,43,38,26,4
2026-06,2026-06-02,"adm_recordatorio_extra_medio",21,21,16,12,5
2026-06,2026-06-02,"adm_recordatorio_extra_medio",22,22,19,16,3
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_alta",30,30,29,21,1
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_alta",44,44,32,27,11
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_alta",44,44,36,28,8
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_alta",30,30,26,19,3
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_alta",46,46,41,36,5
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_baja",45,45,40,29,5
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_baja",56,56,47,26,8
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_baja",44,44,29,24,15
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_media",69,69,59,48,10
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_media",71,71,64,49,7
2026-06,2026-06-02,"fidelizacion_recordatorio_extra_media",73,73,68,51,5
2026-06,2026-06-02,"m1_recordatorio_extra_alta",56,0,0,0,56
2026-06,2026-06-02,"m1_recordatorio_extra_baja",51,0,0,0,51
2026-06,2026-06-02,"m1_recordatorio_extra_media",45,0,0,0,45
2026-06,2026-06-02,"m2_recordatorio_extra_alta",39,0,0,0,39
2026-06,2026-06-02,"m2_recordatorio_extra_alta",41,0,0,0,41
2026-06,2026-06-02,"m3_recordatorio_extra_alta",34,34,29,22,5
2026-06,2026-06-02,"m3_recordatorio_extra_media",34,34,28,20,6
2026-06,2026-06-02,"retencion_recordatorio_extra_alta",109,109,95,72,14
2026-06,2026-06-02,"retencion_recordatorio_extra_baja",47,47,38,33,9
2026-06,2026-06-02,"retencion_recordatorio_extra_medio",95,95,82,57,12
2026-06,2026-06-01,"admision_recortatporio_3_mediacaida_con imagen",23,23,19,14,4
2026-06,2026-06-01,"admision_recortatporio_3_mediacaida_sin imagen",23,23,19,16,4
2026-06,2026-06-01,"m1_gapempcional_riesgoalto",56,56,48,36,7
2026-06,2026-06-01,"m1_gapempcional_riesgomedio",47,46,44,32,2
2026-05,2026-05-29,"noretrasesmeta_alta_m2",40,40,37,29,3
2026-05,2026-05-29,"noretrasesmeta_baja_m2",40,40,31,23,7
2026-05,2026-05-29,"recordatorio1_alta_retencion",125,125,111,85,13
2026-05,2026-05-29,"recordatorio1_baja_retencion",96,96,81,64,14
2026-05,2026-05-29,"recordatorio1_media_retencion",121,121,108,80,12
2026-05,2026-05-29,"recuperate_alta_m3",34,34,29,22,5
2026-05,2026-05-29,"recuperate_baja_m3",35,35,29,24,6
2026-05,2026-05-29,"recuperate_media_m3",34,34,29,19,5
2026-05,2026-05-29,"reingreso_seguimiento",327,326,263,168,58
2026-05,2026-05-28,"admision_confianza_altacaida_con_imagen",54,54,49,42,3
2026-05,2026-05-28,"admision_confianza_altacaida_sin_imagen",44,44,37,27,6
2026-05,2026-05-28,"admision_confianza_mediacaida_con_imagen",25,25,21,17,4
2026-05,2026-05-28,"admision_confianza_mediacaida_sin_imagen",23,23,20,17,3
2026-05,2026-05-28,"admision_recordatorioextra_mediacaida_sin_imagen",23,23,20,17,3
2026-05,2026-05-28,"fidelizacion_recordatorio2_baja_mañana",58,58,52,32,6
2026-05,2026-05-28,"fidelizacion_recordatorio2_baja_noche",54,54,45,34,9
2026-05,2026-05-28,"fidelizacion_recordatorio2_baja_tarde",55,55,38,30,16
2026-05,2026-05-28,"fidelizacion_recordatorio2_media_mañana",83,83,80,63,3
2026-05,2026-05-28,"fidelizacion_recordatorio2_media_noche",82,82,72,57,10
2026-05,2026-05-28,"fidelizacion_recordatorio2_media_tarde",83,83,68,55,15
2026-05,2026-05-28,"m1_beneficio_alta",56,0,0,0,56
2026-05,2026-05-28,"m1_beneficio_baja",51,0,0,0,51
2026-05,2026-05-27,"admision_recordatorioextra_altacaida_con_imagen",55,55,46,38,7
2026-05,2026-05-27,"admision_recordatorioextra_altacaida_sin_imagen",48,48,45,33,3
2026-05,2026-05-27,"admision_recordatorioextra_bajacaida_con_iamgen",58,58,52,39,5
2026-05,2026-05-27,"admision_recordatorioextra_bajacaida_sin_iamgen",57,57,50,42,7
2026-05,2026-05-27,"admision_recordatorioextra_mediacaida_con_imagen",25,25,22,18,3
2026-05,2026-05-27,"fidelizacion_recordatorioextra_alta_mañana",74,74,67,57,7
2026-05,2026-05-27,"fidelizacion_recordatorioextra_alta_noche",71,71,60,48,11
2026-05,2026-05-27,"fidelizacion_recordatorioextra_alta_tarde",62,62,59,44,3
2026-05,2026-05-27,"fidelizacion_recordatorioextra_baja_mañana",59,59,53,35,6
2026-05,2026-05-27,"fidelizacion_recordatorioextra_baja_noche",56,56,51,36,5
2026-05,2026-05-27,"fidelizacion_recordatorioextra_baja_tarde",55,55,41,33,12
2026-05,2026-05-27,"fidelizacion_recordatorioextra_media_mañana",86,86,83,65,3
2026-05,2026-05-27,"fidelizacion_recordatorioextra_media_noche",84,84,75,61,9
2026-05,2026-05-27,"fidelizacion_recordatorioextra_media_tarde",85,85,74,61,11
2026-05,2026-05-27,"riesgodirecto_bajo_m2",40,40,33,23,5
2026-05,2026-05-27,"riesgodirecto_medio_m2",41,41,36,28,5
2026-05,2026-05-25,"admision_motivacional_altacaida_con_image",55,55,50,42,5
2026-05,2026-05-25,"admision_motivacional_altacaida_sin_imagen",50,50,44,32,7
2026-05,2026-05-25,"admision_motivacional_bajacaida_con_image",55,55,50,43,5
2026-05,2026-05-25,"admision_motivacional_bajacaida_sin_imagen",62,62,52,43,10
2026-05,2026-05-25,"admision_motivacional_mediacaida_con_imagen",25,25,22,18,3
2026-05,2026-05-25,"admision_motivacional_mediacaida_sin_imagen",25,25,22,18,3
2026-05,2026-05-25,"fidelizacion_incentivo_baja_mañana",66,66,60,41,6
2026-05,2026-05-25,"fidelización_incentivo_baja_noche",63,62,53,37,10
2026-05,2026-05-25,"fidelización_incentivo_baja_tarde",57,57,42,34,15
2026-05,2026-05-25,"fidelizacion_incentivo_media_mañana",95,95,90,70,5
2026-05,2026-05-25,"fidelización_incentivo_media_noche",87,87,80,66,7
2026-05,2026-05-25,"fidelización_incentivo_media_tarde",90,90,77,64,13
2026-05,2026-05-25,"m1_acompañamiento_riesgoalto",56,0,0,0,56
2026-05,2026-05-25,"m1_acompañamiento_riesgomedio",47,0,0,0,47
2026-05,2026-05-25,"reingreso_apertura_2",428,276,238,182,186
2026-05,2026-05-22,"m2_consecuenciaescalada_baja",41,41,35,26,5
2026-05,2026-05-22,"retencion_recordatorio_1_ALTA_NOPAGO",130,130,117,90,13
2026-05,2026-05-22,"retencion_recordatorio_1_BAJA_NOPAGO",136,136,113,92,23
2026-05,2026-05-22,"retencion_recordatorio_1_MEDIA_NOPAGO",138,138,123,91,15
2026-05,2026-05-21,"admision_informativo_alta_caida_conimagen",56,56,53,45,3
2026-05,2026-05-21,"admision_informativo_alta_caida_sinimagen_1",55,55,48,37,6
2026-05,2026-05-21,"admision_informativo_media_caida_conimagen",26,26,23,19,2
2026-05,2026-05-21,"admision_informativo_media_caida_sinimagen",27,27,25,20,2
2026-05,2026-05-21,"fidelizacion_sabiasque_ALTA_mañana",84,84,75,64,9
2026-05,2026-05-21,"fidelizacion_sabiasque_ALTA_noche",79,78,70,56,9
2026-05,2026-05-21,"fidelizacion_sabiasque_ALTA_tarde",81,81,78,58,3
2026-05,2026-05-21,"fidelizacion_sabias_que_BAJA_mañana",66,66,61,42,5
2026-05,2026-05-21,"fidelizacion_sabias_que_BAJA_noche",66,65,58,43,8
2026-05,2026-05-21,"fidelizacion_sabias_que_BAJA_tarde",62,62,48,40,13
2026-05,2026-05-21,"fidelizacion_sabias_que_MEDIA_mañana",95,95,90,71,5
2026-05,2026-05-21,"fidelizacion_sabias_que_MEDIA_noche",95,95,87,73,8
